Ticker,Beta (5Y Monthly),52 Week Change,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding
A,1.232,-0.12520015,2011693.0,2057080.0,284064992.0
AACB,,0.026315808,81669.0,7750.0,23650000.0
AACBR,,,,,
AACBU,,0.029000044,4562.0,480.0,25175000.0
AACG,0.829,0.5538461,33667.0,131200.0,31624500.0
AACI,,,164491.0,172240.0,23710000.0
AACIU,,,348362.0,2520.0,
AACIW,,,,,
AADR,,,5114.0,2510.0,
AAL,1.359,0.10258865,60576070.0,70924150.0,659828992.0
AALG,,,15063.0,16440.0,
AAME,0.77,0.5033113,15250.0,9000.0,20397200.0
AAOI,2.773,2.3004866,4592979.0,3989310.0,56139100.0
AAON,0.946,-0.046764255,990837.0,1270130.0,81366096.0
AAPB,,,281133.0,301910.0,
AAPD,,,1033950.0,982290.0,
AAPG,0.834,1.1749136,12677.0,8740.0,92612200.0
AAPL,1.199,-0.019977987,53038719.0,45668270.0,14935799808.0
AAPU,,,3684635.0,3588560.0,
AARD,,0.027253628,60691.0,47440.0,21688200.0
AAUS,,,833.0,833.0,
AAVM,,,1953.0,1800.0,
AAXJ,,,515677.0,545750.0,
ABAT,1.233,2.1237624,3577756.0,10851900.0,92523904.0
ABBV,0.481,0.04583931,6447079.0,4817000.0,1766400000.0
ABCL,0.617,0.5820433,6100601.0,8074480.0,298484992.0
ABCS,,,4077.0,2860.0,
ABEO,1.508,0.31124496,1759443.0,697700.0,51156700.0
ABI,,,98271.0,60300.0,
ABIG,,,8935.0,2110.0,
ABL,0.0,-0.44620252,969216.0,531490.0,97867800.0
ABLLL,,,11890.0,6800.0,
ABLLW,,,,,
ABLV,1.484,-0.099173546,12677.0,20010.0,24518500.0
ABLVW,1.484,,,,
ABNB,1.135,0.007270694,4939533.0,3174410.0,431601984.0
ABOS,0.111,-0.5227964,439554.0,782120.0,60573400.0
ABP,-0.008,-0.9713506,15949238.0,28297370.0,60787300.0
ABPWW,-0.038,,,,
